 2451250.609354,13.912,0.012
 2451488.746558,13.926,0.012
 2451488.845906,13.908,0.012
 2452676.652062,13.914,0.012
 2453290.865679,13.907,0.012
 2453292.813715,13.918,0.012
 2453292.866536,13.930,0.012
 2453293.775408,13.901,0.012
 2453293.805315,13.916,0.012
 2453293.836583,13.905,0.012
 2453293.868581,13.914,0.012
 2453293.898373,13.902,0.012
 2453294.782673,13.912,0.012
 2453294.845233,13.902,0.012
 2453294.875101,13.901,0.012
 2453323.790919,13.924,0.012
 2453323.821307,13.924,0.012
 2453323.851818,13.928,0.012
 2453329.757695,13.882,0.012
 2453329.806308,13.866,0.013
 2453344.646215,13.889,0.012
 2453344.710754,13.855,0.013
 2453353.751155,13.924,0.012
 2453358.680190,13.856,0.013
 2453359.607141,13.865,0.013
 2453359.647458,13.863,0.013
 2453361.618300,13.894,0.012
 2453372.577867,13.865,0.013
 2453372.623733,13.869,0.013
 2453372.670985,13.853,0.013
 2453373.563947,13.858,0.013
 2453373.623027,13.862,0.013
 2453373.672317,13.849,0.013
 2453373.718197,13.861,0.013
 2453377.569970,13.900,0.012
 2453377.613768,13.892,0.012
 2453377.656855,13.890,0.012
 2453403.598006,13.835,0.013
 2453403.648603,13.859,0.013
 2453416.559361,13.817,0.013
 2453416.603778,13.844,0.013
 2453436.603482,13.905,0.012
 2453442.530756,13.909,0.012
 2453442.574472,13.918,0.012
 2453443.605068,13.872,0.013
 2453444.545863,13.859,0.013
 2453445.557501,13.822,0.013
 2453707.785658,13.946,0.012
 2454094.587907,13.968,0.012
 2454443.682742,13.915,0.012
 2454443.716024,13.917,0.012
 2454444.695770,13.846,0.013
 2454444.690440,13.872,0.013
 2454444.727047,13.858,0.013
 2454444.721717,13.858,0.013
 2454451.774265,13.865,0.013
 2454482.608149,13.922,0.012
 2454526.574299,13.922,0.012
 2454526.604890,13.922,0.012
 2454715.883124,13.934,0.043
 2454715.883914,13.943,0.037
 2454765.840937,13.793,0.024
 2454765.872189,13.803,0.023
 2454771.785768,13.894,0.022
 2454771.816326,13.895,0.025
 2454776.702724,13.817,0.024
 2454800.755060,13.881,0.021
 2454801.826610,13.897,0.027
 2454810.657974,13.776,0.025
 2454821.678774,13.829,0.020
 2454824.600955,13.781,0.022
 2454824.631510,13.776,0.019
 2455085.844805,13.858,0.032
 2455085.845596,13.835,0.035
 2455085.872586,13.842,0.024
 2455085.873376,13.834,0.031
 2455153.803979,13.845,0.034
 2455153.804769,13.845,0.061
 2455159.833379,13.855,0.063
 2455159.834169,13.956,0.088
 2455159.856990,13.876,0.072
 2455159.857781,13.904,0.115
 2455159.879908,13.867,0.029
 2455159.880698,13.881,0.032
 2455162.732749,13.814,0.028
 2455162.733539,13.873,0.055
 2455202.637638,13.868,0.029
 2455202.638428,13.886,0.032
 2455203.634827,13.878,0.031
 2455203.635617,13.906,0.035
 2455204.632334,13.853,0.030
 2455204.633124,13.853,0.034
 2455206.626669,13.801,0.030
 2455206.627459,13.778,0.024
 2455212.609810,13.850,0.042
 2455212.610601,13.913,0.070
 2455215.672244,13.881,0.058
 2455215.673034,13.864,0.057
 2455218.593273,13.854,0.043
 2455218.594063,13.941,0.066
 2455529.782553,13.808,0.043
